report_type,reported_at,name,gender,age_band,language,last_seen_location,reporting_center,reporter_mobile,physical_description,remarks,status
found,2027-08-05 21:22,,Female,41-60,Telugu,Gauri Patangan,Police Main Control Room,+91 8608159580,"Child girl, pigtails, pink frock, about 6 years",,Reunited
found,2027-07-01 14:30,Suresh Verma,Male,71-80,Gujarati,Bus Stand Nashik,Rajur Bahula Center,+91 9210152642,"Child girl, pigtails, pink frock, about 6 years",Announcement made on PA,Transferred to hospital
found,2027-07-07 11:40,Manoj Agarwal,Male,61-70,Marathi,Rajur Bahula,Sadhugram Lost Found,+91 6754586204,Lost near ghats,,Reunited
found,2027-07-20 17:17,Kavita Verma,Female,41-60,Kannada,Nashik Road Station,Police Main Control Room,+91 9839462365,"Old woman in white saree, widow marks",Police assisted,Reunited
found,2027-07-27 20:18,Pooja Pandey,Female,41-60,Kannada,Kapila Sangam,Police Main Control Room,,"Old man in dhoti kurta, cannot remember name",Bharat Bharati volunteer handled,Reunited
found,2027-07-08 19:07,Laxmi Menon,Female,18-40,Tamil,Sadhugram Gate 2,Rajur Bahula Center,+91 6341270488,Old woman,Announcement made on PA,Reunited
found,2027-08-14 12:36,Dinesh Agarwal,Male,41-60,Bengali,Kapila Sangam,Trimbakeshwar Kho-Ya-Paya Kendra,+91 8302563940,Man from UP,Bharat Bharati volunteer handled,Reunited
found,2027-07-03 07:15,Parvati Gupta,Female,71-80,Marathi,Takli Sangam,Trimbakeshwar Kho-Ya-Paya Kendra,+91 9680911523,Child missing,,Reunited
found,2027-08-13 10:04,Rakesh Kumar,Male,61-70,Tamil,Dasak Ghat,Panchavati Center,+91 9408842146,"Old man, hearing aid, wearing full pants shirt",Found near ghat,Reunited
found,2027-07-07 06:19,Meena Iyer,Female,41-60,Telugu,Dasak Ghat,Central Control Room,+91 7774576271,"Old man, hearing aid, wearing full pants shirt",Bharat Bharati volunteer handled,Reunited
found,2027-07-25 16:06,Vimla Menon,Female,13-17,Awadhi,Dindori Road Crossing,Rajur Bahula Center,+91 6588322781,"Wearing white saree, grey hair, speaks Hindi",Family waiting at center,Pending
found,2027-07-03 16:13,Deepak Desai,Male,61-70,Telugu,Dasak Ghat,Rajur Bahula Center,+91 9400368694,"Man in saffron kurta, has rudraksha mala",Cross-center transfer needed,Reunited
found,2027-08-12 05:08,Pushpa Roy,Female,41-60,Awadhi,Ramkund Ghat,Panchavati Center,+91 7218032515,"Man in saffron kurta, has rudraksha mala",Bharat Bharati volunteer handled,Reunited
found,2027-07-18 15:24,Rajesh Mehta,Male,61-70,Kannada,Main Police Chowki,Police Main Control Room,+91 6235497187,"Old man confused, keeps asking for Ramkund",,Reunited
found,2027-07-04 15:42,Kavita Gupta,Female,13-17,Bengali,Sadhugram Gate 1,Adgaon Kho-Ya-Paya,+91 7697398528,"Woman in burqa, has small child with her",Found near ghat,Pending
found,2027-07-27 19:21,Dinesh Nair,Male,0-12,Telugu,Adgaon Parking,Panchavati Center,+91 7503935666,"Old man confused, keeps asking for Ramkund",,Reunited
found,2027-07-09 13:18,Sunita Tiwari,Female,61-70,Kannada,Nandur Ghat,Bharat Bharati Control Room,+91 7923935280,"Wearing white saree, grey hair, speaks Hindi",Brought by volunteer,Reunited
found,2027-08-08 15:14,Laxmi Agarwal,Female,80+,Maithili,Nandur Ghat,Ramkund Kho-Ya-Paya Kendra,+91 7567804106,"Child in red shirt, about 8-10 years, crying",Police assisted,Reunited
found,2027-08-02 07:19,Prakash Gupta,Male,61-70,Hindi,Dasak Ghat,Rajur Bahula Center,,"Old man in dhoti kurta, cannot remember name",,Reunited
found,2027-08-10 15:04,Sita Pandey,Female,41-60,Bengali,Nandur Ghat,Bharat Bharati Control Room,+91 6947425963,"Woman with three children, lost husband",Family waiting at center,Reunited
found,2027-08-01 11:14,Kavita Reddy,Female,61-70,Tamil,Sadhugram Gate 2,Ramkund Kho-Ya-Paya Kendra,+91 7466932310,"Child in red shirt, about 8-10 years, crying",GGTalk app used,Reunited
found,2027-07-19 17:32,Pushpa Agarwal,Female,41-60,Bhojpuri,Nashik Road Station,Adgaon Kho-Ya-Paya,+91 9595725097,"Young boy in blue uniform, school bag",Cross-center transfer needed,Reunited
found,2027-07-07 15:50,Sunil Pandey,Male,80+,Tamil,Sadhugram Gate 2,Ramkund Kho-Ya-Paya Kendra,,"Old man in dhoti kurta, cannot remember name",,Pending
found,2027-07-23 12:36,Parvati Shah,Female,71-80,Marathi,Gauri Patangan,Ramkund Kho-Ya-Paya Kendra,,Lost near ghats,GGTalk app used,Reunited
found,2027-07-09 07:45,Hari Krishnan,Male,71-80,Bhojpuri,Dasak Ghat,Central Control Room,+91 7971339002,"Old man confused, keeps asking for Ramkund",Found near ghat,Reunited
found,2027-07-24 14:19,Anil Pandey,Male,61-70,Bengali,Dasak Ghat,Nashik Road Center,+91 9746879296,Old woman,Police assisted,Reunited
found,2027-07-09 21:23,Rakesh Verma,Male,61-70,Tamil,Kapila Sangam,Panchavati Center,+91 6716243819,,Announcement made on PA,Reunited
found,2027-08-14 10:50,Vimla Dubey,Female,71-80,Marathi,Laxmi Narayan Ghat,Police Main Control Room,+91 8269119969,"Man in saffron kurta, has rudraksha mala",Brought by volunteer,Unresolved
found,2027-08-02 06:53,Prakash Rao,Male,18-40,Tamil,Sadhugram Gate 1,Police Main Control Room,+91 7564520346,"Elderly man with walking stick, hard of hearing",Police assisted,Reunited
found,2027-08-11 13:41,Laxmi Dubey,Female,61-70,Awadhi,Rajur Bahula,Nashik Road Center,,"Elderly woman, cannot speak properly, Gujarati",Found near ghat,Reunited
found,2027-07-16 09:06,Geeta Pillai,Female,61-70,Awadhi,Kushavart Kund,Sadhugram Lost Found,+91 8582750043,"Old man, bald, wearing vest and dhoti",Police assisted,Reunited
found,2027-07-17 16:48,Parvati Rao,Female,61-70,Bengali,Kapila Sangam,Panchavati Center,,"Old man in dhoti kurta, cannot remember name",Found near ghat,Reunited
found,2027-08-09 14:37,Dinesh Iyer,Male,18-40,Maithili,Nandur Ghat,Police Main Control Room,,"Man in yellow kurta, has tilak, speaks Bhojpuri",,Reunited
found,2027-07-04 09:33,Prakash Dubey,Male,61-70,Kannada,Rajur Bahula,Police Main Control Room,+91 9890099255,"Child girl, pigtails, pink frock, about 6 years",GGTalk app used,Reunited
found,2027-07-23 09:18,Pushpa Desai,Female,18-40,Marathi,Kushavart Kund,Sadhugram Lost Found,+91 9978726109,Old woman,Announcement made on PA,Reunited
found,2027-07-19 06:58,Sita Shukla,Female,71-80,Maithili,Trimbakeshwar Approach,Nashik Road Center,+91 8444851196,"Man in saffron kurta, has rudraksha mala",,Reunited
found,2027-07-11 13:45,Mamta Shah,Female,80+,Telugu,Adgaon Parking,Central Control Room,+91 6455069350,Child missing,,Reunited
found,2027-08-08 08:40,Sangeeta Sharma,Female,41-60,Bhojpuri,Takli Sangam,Panchavati Center,+91 9429430802,"Girl child about 5 years, red bindi, crying",Family waiting at center,Reunited
found,2027-07-29 06:29,Sita Dubey,Female,61-70,Kannada,Sadhugram Gate 2,Police Main Control Room,+91 6648011361,"Elderly woman, cannot speak properly, Gujarati",Found near ghat,Reunited
found,2027-07-23 08:11,Parvati Shukla,Female,71-80,Gujarati,Panchavati Circle,Adgaon Kho-Ya-Paya,+91 7801726890,"Man in yellow kurta, has tilak, speaks Bhojpuri",,Reunited
found,2027-07-15 11:48,,Male,61-70,Tamil,Kushavart Kund,Ramkund Kho-Ya-Paya Kendra,+91 9571332733,"Man in yellow kurta, has tilak, speaks Bhojpuri",Family waiting at center,Reunited
found,2027-07-15 14:54,Pushpa Shah,Female,61-70,Maithili,Sadhugram Gate 2,Rajur Bahula Center,+91 9358737619,"Old man in dhoti kurta, cannot remember name",Bharat Bharati volunteer handled,Reunited
found,2027-07-31 12:44,Mohan Sinha,Male,41-60,Bhojpuri,Main Police Chowki,Trimbakeshwar Kho-Ya-Paya Kendra,+91 6901955461,"Old man, bald, wearing vest and dhoti",GGTalk app used,Reunited
found,2027-07-16 20:35,Manoj Nair,Male,61-70,Kannada,Nandur Ghat,Sadhugram Lost Found,+91 9711806831,Man from UP,Announcement made on PA,Transferred to hospital
found,2027-08-01 05:00,Dinesh Sharma,Male,61-70,Hindi,Panchavati Circle,Police Main Control Room,+91 9807901168,"Elderly woman, cannot speak properly, Gujarati",Found near ghat,Reunited
found,2027-07-31 06:40,,Male,80+,Kannada,Ramkund Ghat,Ramkund Kho-Ya-Paya Kendra,+91 9693458652,"Child in red shirt, about 8-10 years, crying",,Reunited
found,2027-08-14 07:32,Rakesh Tiwari,Male,71-80,Bengali,Laxmi Narayan Ghat,Central Control Room,+91 7948790854,"Woman in green saree, has tilak on forehead",Family waiting at center,Reunited
found,2027-07-06 10:27,,Male,41-60,Maithili,Dasak Ghat,Police Main Control Room,,"Woman with three children, lost husband",,Reunited
found,2027-07-07 09:19,Ram Mehta,Male,41-60,Awadhi,Ramkund Ghat,Adgaon Kho-Ya-Paya,+91 7591625191,"Child girl, pigtails, pink frock, about 6 years",Bharat Bharati volunteer handled,Reunited
found,2027-08-05 05:46,Ankit Menon,Male,18-40,Tamil,Dasak Ghat,Trimbakeshwar Kho-Ya-Paya Kendra,+91 7831983367,"Boy about 12, wearing school dress",Bharat Bharati volunteer handled,Reunited
found,2027-08-11 17:48,,Female,41-60,Hindi,Nandur Ghat,Adgaon Kho-Ya-Paya,+91 6704753177,"Woman in green saree, has tilak on forehead",GGTalk app used,Reunited
found,2027-07-22 08:43,Anil Singh,Male,71-80,Gujarati,Adgaon Parking,Trimbakeshwar Kho-Ya-Paya Kendra,+91 6124250578,"Man in yellow kurta, has tilak, speaks Bhojpuri",Announcement made on PA,Reunited
found,2027-08-12 20:33,Pushpa Sinha,Female,41-60,Awadhi,Nandur Ghat,Nashik Road Center,,"Old man, bald, wearing vest and dhoti",Announcement made on PA,Reunited
found,2027-07-19 09:11,Ashok Shukla,Male,61-70,Hindi,Nandur Ghat,Rajur Bahula Center,,"Girl child about 5 years, red bindi, crying",Announcement made on PA,Pending
found,2027-08-04 16:34,Sangeeta Desai,Female,61-70,Bhojpuri,Kushavart Kund,Rajur Bahula Center,+91 8932271276,"Woman with three children, lost husband",Cross-center transfer needed,Unresolved
found,2027-07-19 14:36,Pushpa Verma,Female,61-70,Marathi,Madsangvi Transit,Police Main Control Room,,Lost near ghats,,Reunited
found,2027-07-06 19:40,Deepak Yadav,Male,71-80,Bengali,Laxmi Narayan Ghat,Bharat Bharati Control Room,+91 6931221434,"Woman with three children, lost husband",Found near ghat,Reunited
found,2027-08-12 10:03,Seema Patel,Female,71-80,Bhojpuri,Kapila Sangam,Sadhugram Lost Found,+91 6499264207,Child missing,Brought by volunteer,Reunited
found,2027-08-11 10:28,Amit Krishnan,Male,18-40,Gujarati,Laxmi Narayan Ghat,Trimbakeshwar Kho-Ya-Paya Kendra,+91 6755325292,,Announcement made on PA,Pending
found,2027-07-04 12:31,Durga Roy,Female,61-70,Kannada,Kapila Sangam,Bharat Bharati Control Room,+91 8793819512,"Man in saffron kurta, has rudraksha mala",,Reunited
found,2027-07-06 14:05,Ajay Patil,Male,61-70,Maithili,Nashik Road Station,Trimbakeshwar Kho-Ya-Paya Kendra,+91 7397928718,"Elderly man with walking stick, hard of hearing",Cross-center transfer needed,Reunited
found,2027-07-28 13:33,Ankit Desai,Male,41-60,Awadhi,Trimbakeshwar Approach,Sadhugram Lost Found,+91 6459715348,Old woman,,Reunited
found,2027-07-05 16:07,Manju Patil,Female,61-70,Bhojpuri,Nashik Road Station,Central Control Room,+91 8391261014,"Young boy in blue uniform, school bag",,Reunited
found,2027-08-14 05:21,Mamta Pillai,Female,18-40,Tamil,Ramkund Ghat,Adgaon Kho-Ya-Paya,+91 8782837348,Child missing,Announcement made on PA,Reunited
found,2027-07-13 09:49,Gaurav Dubey,Male,41-60,Marathi,Trimbak Road,Bharat Bharati Control Room,+91 7180195016,"Elderly man with walking stick, hard of hearing",GGTalk app used,Reunited
found,2027-07-30 08:51,Sanjay Mishra,Male,80+,Hindi,Sadhugram Gate 2,Bharat Bharati Control Room,+91 7201710492,"Wearing white saree, grey hair, speaks Hindi",Bharat Bharati volunteer handled,Reunited
found,2027-07-26 18:56,Ashok Rao,Male,41-60,Marathi,Panchavati Circle,Rajur Bahula Center,+91 7137204552,"Old man in dhoti kurta, cannot remember name",GGTalk app used,Reunited
found,2027-08-12 12:17,Anil Shah,Male,61-70,Bhojpuri,Panchavati Circle,Central Control Room,,Man from UP,,Reunited
found,2027-07-12 15:03,,Male,80+,Gujarati,Ramkund Ghat,Ramkund Kho-Ya-Paya Kendra,,"Old man, hearing aid, wearing full pants shirt",,Reunited
found,2027-07-01 17:54,Kamla Patel,Female,71-80,Awadhi,Trimbak Road,Central Control Room,,"Young boy in blue uniform, school bag",Cross-center transfer needed,Reunited
found,2027-08-09 12:10,Prakash Desai,Male,18-40,Tamil,Dasak Ghat,Bharat Bharati Control Room,+91 8686288768,"Old man in dhoti kurta, cannot remember name",Police assisted,Reunited
found,2027-08-06 20:09,Kanta Das,Female,41-60,Bengali,Kushavart Kund,Panchavati Center,+91 6521875543,"Wearing white saree, grey hair, speaks Hindi",Announcement made on PA,Reunited
found,2027-07-25 20:36,Sangeeta Verma,Female,71-80,Marathi,Dindori Road Crossing,Rajur Bahula Center,+91 9912239392,"Old man confused, keeps asking for Ramkund",Family waiting at center,Reunited
found,2027-08-03 19:58,Manoj Desai,Male,0-12,Maithili,Ramkund Ghat,Nashik Road Center,+91 8396568375,"Old man, hearing aid, wearing full pants shirt",Family waiting at center,Reunited
found,2027-07-02 15:52,Asha Verma,Female,71-80,Kannada,Takli Sangam,Sadhugram Lost Found,+91 8499905152,"Woman speaking Tamil, wearing silk saree",Brought by volunteer,Pending
found,2027-07-04 12:02,Amit Sinha,Male,61-70,Bhojpuri,Dasak Ghat,Central Control Room,+91 7998696871,"Woman in burqa, has small child with her",Cross-center transfer needed,Reunited
found,2027-08-13 05:30,Radha Sinha,Female,41-60,Hindi,Sadhugram Gate 2,Ramkund Kho-Ya-Paya Kendra,+91 6937844678,"Girl child about 5 years, red bindi, crying",Cross-center transfer needed,Reunited
found,2027-07-16 06:51,Shyam Reddy,Male,41-60,Telugu,Main Police Chowki,Adgaon Kho-Ya-Paya,,Lost near ghats,Found near ghat,Reunited
found,2027-07-23 12:47,Deepak Yadav,Male,61-70,Telugu,Takli Sangam,Adgaon Kho-Ya-Paya,+91 6338642889,"Child girl, pigtails, pink frock, about 6 years",Announcement made on PA,Reunited
found,2027-07-04 05:28,Gaurav Patil,Male,13-17,Gujarati,Madsangvi Transit,Trimbakeshwar Kho-Ya-Paya Kendra,+91 8781288086,Man from UP,,Reunited
found,2027-07-03 14:18,Rahul Pandey,Male,13-17,Maithili,Dasak Ghat,Police Main Control Room,+91 6984595578,"Girl child about 5 years, red bindi, crying",Police assisted,Reunited
found,2027-07-29 17:07,,Male,71-80,Gujarati,Panchavati Circle,Sadhugram Lost Found,,"Old woman in white saree, widow marks",Bharat Bharati volunteer handled,Reunited
found,2027-07-08 20:09,Saraswati Das,Female,41-60,Marathi,Trimbakeshwar Approach,Police Main Control Room,,"Child in red shirt, about 8-10 years, crying",Announcement made on PA,Pending
found,2027-07-22 10:07,Sita Dubey,Female,61-70,Tamil,Kapila Sangam,Adgaon Kho-Ya-Paya,+91 6500099988,"Boy about 12, wearing school dress",Bharat Bharati volunteer handled,Reunited
found,2027-08-11 15:00,,Female,80+,Awadhi,Nashik Road Station,Nashik Road Center,+91 6380904676,Child missing,GGTalk app used,Reunited
found,2027-07-29 19:05,,Male,41-60,Marathi,Bus Stand Nashik,Rajur Bahula Center,+91 6592949064,"Child girl, pigtails, pink frock, about 6 years",,Unresolved
found,2027-07-23 14:35,Saraswati Rao,Female,61-70,Marathi,Nashik Road Station,Panchavati Center,+91 6466529415,Old woman,Bharat Bharati volunteer handled,Reunited
found,2027-07-10 17:42,,Female,71-80,Maithili,Main Police Chowki,Nashik Road Center,+91 9645818292,"Child girl, pigtails, pink frock, about 6 years",Family waiting at center,Pending
found,2027-07-08 16:35,,Female,71-80,Bengali,Bus Stand Nashik,Nashik Road Center,+91 8862735437,"Old man, hearing aid, wearing full pants shirt",Bharat Bharati volunteer handled,Reunited
found,2027-08-12 06:59,Vimla Tiwari,Female,61-70,Telugu,Kapila Sangam,Adgaon Kho-Ya-Paya,+91 8844034445,"Elderly woman, cannot speak properly, Gujarati",Found near ghat,Transferred to hospital
found,2027-07-10 06:49,Geeta Patel,Female,41-60,Awadhi,Main Police Chowki,Sadhugram Lost Found,+91 7142885885,"Old woman in white saree, widow marks",GGTalk app used,Reunited
found,2027-08-13 15:24,,Female,41-60,Maithili,Sadhugram Gate 1,Adgaon Kho-Ya-Paya,+91 7142817871,"Woman speaking Tamil, wearing silk saree",Police assisted,Reunited
found,2027-08-13 09:01,Ankit Patil,Male,71-80,Marathi,Dasak Ghat,Panchavati Center,+91 6901967913,"Old man in dhoti kurta, cannot remember name",,Reunited
found,2027-08-08 14:40,Rohit Rao,Male,13-17,Telugu,Sadhugram Gate 2,Sadhugram Lost Found,+91 6608940398,Lost near ghats,GGTalk app used,Transferred to hospital
found,2027-07-05 13:06,Vimla Pillai,Female,80+,Telugu,Rajur Bahula,Nashik Road Center,+91 8821216549,"Old woman in white saree, widow marks",Found near ghat,Reunited
found,2027-08-05 08:11,,Male,71-80,Gujarati,Main Police Chowki,Bharat Bharati Control Room,+91 8622881542,"Woman speaking Tamil, wearing silk saree",Cross-center transfer needed,Pending
found,2027-08-02 09:28,,Male,41-60,Awadhi,Adgaon Parking,Ramkund Kho-Ya-Paya Kendra,+91 7913043828,"Old man, hearing aid, wearing full pants shirt",Announcement made on PA,Reunited
found,2027-07-23 20:50,Ajay Roy,Male,61-70,Maithili,Bus Stand Nashik,Nashik Road Center,+91 8977501292,"Wearing white saree, grey hair, speaks Hindi",Brought by volunteer,Pending
found,2027-08-08 05:56,Suresh Kumar,Male,18-40,Kannada,Takli Sangam,Bharat Bharati Control Room,+91 7160035062,"Old woman, white clothes, lost memory",Brought by volunteer,Reunited
found,2027-07-12 20:42,Manju Shah,Female,71-80,Hindi,Sadhugram Gate 2,Nashik Road Center,,"Woman with three children, lost husband",Cross-center transfer needed,Pending
found,2027-08-11 11:44,Nisha Yadav,Female,71-80,Marathi,Nandur Ghat,Adgaon Kho-Ya-Paya,+91 6502685267,"Woman in burqa, has small child with her",GGTalk app used,Reunited
found,2027-07-25 05:51,Sunil Chaudhary,Male,71-80,Awadhi,Trimbakeshwar Approach,Ramkund Kho-Ya-Paya Kendra,+91 6272591127,"Old woman in white saree, widow marks",,Reunited
found,2027-07-10 07:35,Ajay Sharma,Male,13-17,Telugu,Takli Sangam,Police Main Control Room,+91 9535349662,"Old man, hearing aid, wearing full pants shirt",Brought by volunteer,Reunited
found,2027-07-05 17:40,Shanti Agarwal,Female,71-80,Bengali,Dindori Road Crossing,Trimbakeshwar Kho-Ya-Paya Kendra,,"Child girl, pigtails, pink frock, about 6 years",,Transferred to hospital
found,2027-07-06 20:39,Mohan Krishnan,Male,61-70,Kannada,Ramkund Ghat,Police Main Control Room,,"Old man in dhoti kurta, cannot remember name",Family waiting at center,Reunited
found,2027-08-09 10:35,Priya Dubey,Female,0-12,Kannada,Madsangvi Transit,Trimbakeshwar Kho-Ya-Paya Kendra,+91 8488267537,"Woman speaking Tamil, wearing silk saree",,Transferred to hospital
found,2027-07-17 06:25,Ramesh Patel,Male,18-40,Bhojpuri,Sadhugram Gate 1,Ramkund Kho-Ya-Paya Kendra,+91 9422159250,"Old man in dhoti kurta, cannot remember name",Announcement made on PA,Reunited
found,2027-07-10 15:26,Sanjay Shah,Male,71-80,Marathi,Main Police Chowki,Nashik Road Center,+91 9778295798,"Old man, bald, wearing vest and dhoti",Cross-center transfer needed,Reunited
found,2027-07-26 09:08,Amit Chaudhary,Male,80+,Hindi,Nashik Road Station,Ramkund Kho-Ya-Paya Kendra,+91 6803121225,"Wearing white saree, grey hair, speaks Hindi",Announcement made on PA,Reunited
found,2027-08-01 20:19,,Male,61-70,Awadhi,Ramkund Ghat,Adgaon Kho-Ya-Paya,+91 6838487369,"Old man confused, keeps asking for Ramkund",Bharat Bharati volunteer handled,Reunited
found,2027-07-02 09:03,Rajesh Reddy,Male,61-70,Marathi,Panchavati Circle,Central Control Room,,"Young boy in blue uniform, school bag",,Reunited
found,2027-07-03 11:29,Reena Krishnan,Female,0-12,Bhojpuri,Sadhugram Gate 1,Police Main Control Room,+91 9365388382,Lost near ghats,Police assisted,Reunited
found,2027-08-08 06:03,Suresh Nair,Male,61-70,Maithili,Laxmi Narayan Ghat,Ramkund Kho-Ya-Paya Kendra,+91 6367063493,Old woman,GGTalk app used,Reunited
found,2027-08-03 09:28,Bharat Dubey,Male,41-60,Telugu,Takli Sangam,Sadhugram Lost Found,,"Woman with three children, lost husband",,Reunited
found,2027-08-01 11:06,,Male,71-80,Bengali,Kushavart Kund,Nashik Road Center,+91 7214949614,,Found near ghat,Reunited
found,2027-08-12 12:36,Kavita Joshi,Female,13-17,Maithili,Adgaon Parking,Police Main Control Room,+91 7664994379,Child missing,Police assisted,Reunited
found,2027-07-03 14:38,Amit Trivedi,Male,41-60,Tamil,Ramkund Ghat,Police Main Control Room,+91 6879872949,"Elderly man with walking stick, hard of hearing",Police assisted,Reunited
found,2027-08-01 08:38,Kavita Nair,Female,80+,Awadhi,Takli Sangam,Central Control Room,+91 9285652633,Child missing,Police assisted,Reunited
found,2027-07-19 17:09,Sanjay Desai,Male,80+,Kannada,Sadhugram Gate 2,Panchavati Center,+91 7563787397,"Child in red shirt, about 8-10 years, crying",,Reunited
found,2027-07-29 09:28,Bharat Pandey,Male,41-60,Telugu,Kushavart Kund,Trimbakeshwar Kho-Ya-Paya Kendra,+91 8761662253,"Old woman, white clothes, lost memory",,Reunited
found,2027-07-26 06:29,Deepak Kumar,Male,61-70,Tamil,Ramkund Ghat,Bharat Bharati Control Room,+91 6374294163,"Old man, bald, wearing vest and dhoti",,Reunited
found,2027-07-20 12:32,Seema Dubey,Female,71-80,Tamil,Madsangvi Transit,Central Control Room,+91 8771336642,,,Pending
found,2027-08-06 10:20,,Female,61-70,Marathi,Trimbakeshwar Approach,Police Main Control Room,+91 7804623475,"Woman with three children, lost husband",,Reunited
found,2027-07-15 06:26,Pooja Patil,Female,18-40,Bhojpuri,Ramkund Ghat,Sadhugram Lost Found,+91 7307511166,"Elderly woman, cannot speak properly, Gujarati",,Reunited
found,2027-07-24 19:25,,Male,80+,Gujarati,Takli Sangam,Sadhugram Lost Found,+91 6698826833,"Boy about 12, wearing school dress",GGTalk app used,Reunited
found,2027-07-29 16:05,Kavita Yadav,Female,61-70,Maithili,Nashik Road Station,Adgaon Kho-Ya-Paya,+91 6222583664,Child missing,,Reunited
found,2027-07-11 05:15,Savita Agarwal,Female,61-70,Maithili,Panchavati Circle,Sadhugram Lost Found,+91 7332866519,"Girl child about 5 years, red bindi, crying",,Reunited
found,2027-07-31 09:07,Suresh Gupta,Male,41-60,Bengali,Madsangvi Transit,Panchavati Center,+91 6414426733,"Man in yellow kurta, has tilak, speaks Bhojpuri",,Reunited
found,2027-07-14 18:26,Meena Patil,Female,18-40,Maithili,Kushavart Kund,Panchavati Center,+91 6891850638,"Woman in burqa, has small child with her",Found near ghat,Reunited
found,2027-07-04 21:19,Parvati Kumar,Female,61-70,Maithili,Trimbak Road,Panchavati Center,+91 9897344195,"Woman with three children, lost husband",Police assisted,Reunited
found,2027-07-31 21:09,,Male,71-80,Maithili,Rajur Bahula,Panchavati Center,+91 6957946858,"Old woman in white saree, widow marks",,Reunited
found,2027-08-04 15:49,Savita Nair,Female,61-70,Gujarati,Dasak Ghat,Bharat Bharati Control Room,+91 8397050178,"Woman speaking Tamil, wearing silk saree",GGTalk app used,Reunited
found,2027-07-23 14:21,Mahesh Shukla,Male,71-80,Kannada,Rajur Bahula,Police Main Control Room,+91 9761763552,"Child in red shirt, about 8-10 years, crying",Announcement made on PA,Reunited
found,2027-07-07 15:35,Santosh Mishra,Male,61-70,Kannada,Trimbakeshwar Approach,Sadhugram Lost Found,,"Woman with three children, lost husband",GGTalk app used,Reunited
found,2027-07-14 09:56,Ashok Gupta,Male,61-70,Gujarati,Trimbak Road,Central Control Room,+91 6197209076,Man from UP,Family waiting at center,Reunited
found,2027-07-28 17:40,Savita Patil,Female,80+,Bengali,Nandur Ghat,Adgaon Kho-Ya-Paya,+91 6352588284,"Old man, bald, wearing vest and dhoti",,Reunited
