report_type,reported_at,name,gender,age_band,language,last_seen_location,reporting_center,reporter_mobile,physical_description,remarks,status
missing,2027-07-21 07:08,Anjali Mehta,Female,41-60,Gujarati,Sadhugram Gate 2,Trimbakeshwar Kho-Ya-Paya Kendra,+91 8460613550,"Old man, bald, wearing vest and dhoti",GGTalk app used,Reunited
missing,2027-07-12 19:58,Kanta Trivedi,Female,71-80,Hindi,Sadhugram Gate 2,Nashik Road Center,+91 9131165166,"Woman with three children, lost husband",Cross-center transfer needed,Pending
missing,2027-07-16 11:53,Bharat Tiwari,Male,71-80,Bhojpuri,Ramkund Ghat,Nashik Road Center,,"Elderly man with walking stick, hard of hearing",Brought by volunteer,Reunited
missing,2027-07-27 20:06,Pushpa Nair,Female,41-60,Kannada,Gauri Patangan,Panchavati Center,+91 8113585139,,Cross-center transfer needed,Reunited
missing,2027-07-01 21:12,Sita Mehta,Female,71-80,Bengali,Trimbakeshwar Approach,Trimbakeshwar Kho-Ya-Paya Kendra,+91 8696776072,Child missing,Cross-center transfer needed,Reunited
missing,2027-08-07 21:38,Rekha Singh,Female,80+,Tamil,Takli Sangam,Bharat Bharati Control Room,+91 9396889215,"Old woman, white clothes, lost memory",GGTalk app used,Reunited
missing,2027-08-06 14:05,Mahesh Chaudhary,Male,61-70,Bengali,Dindori Road Crossing,Bharat Bharati Control Room,,"Woman with three children, lost husband",GGTalk app used,Reunited
missing,2027-08-13 12:59,Ravi Iyer,Male,0-12,Bhojpuri,Madsangvi Transit,Nashik Road Center,+91 9176428684,Lost near ghats,Found near ghat,Reunited
missing,2027-07-03 10:30,Savita Gupta,Female,61-70,Gujarati,Nashik Road Station,Rajur Bahula Center,+91 8718740490,"Woman speaking Tamil, wearing silk saree",Announcement made on PA,Unresolved
missing,2027-07-11 11:17,Kamla Sharma,Female,61-70,Kannada,Panchavati Circle,Ramkund Kho-Ya-Paya Kendra,,"Old man confused, keeps asking for Ramkund",,Pending
missing,2027-07-27 15:59,Mukesh Kumar,Male,80+,Tamil,Nashik Road Station,Sadhugram Lost Found,+91 6396618390,"Wearing white saree, grey hair, speaks Hindi",Cross-center transfer needed,Reunited
missing,2027-08-07 19:00,Sanjay Menon,Male,80+,Gujarati,Sadhugram Gate 2,Adgaon Kho-Ya-Paya,,,Family waiting at center,Reunited
missing,2027-07-16 21:26,Ravi Mishra,Male,0-12,Gujarati,Trimbak Road,Ramkund Kho-Ya-Paya Kendra,+91 9256304376,"Young boy in blue uniform, school bag",Brought by volunteer,Reunited
missing,2027-08-12 17:17,Ashok Sinha,Male,41-60,Hindi,Ramkund Ghat,Nashik Road Center,+91 8123557463,Lost near ghats,Found near ghat,Pending
missing,2027-07-31 14:47,Dinesh Menon,Male,80+,Marathi,Nandur Ghat,Bharat Bharati Control Room,+91 7375919523,"Boy about 12, wearing school dress",Cross-center transfer needed,Reunited
missing,2027-07-03 14:31,Mahesh Reddy,Male,71-80,Maithili,Sadhugram Gate 1,Bharat Bharati Control Room,+91 7148690765,"Man in saffron kurta, has rudraksha mala",GGTalk app used,Reunited
missing,2027-07-22 12:08,Ashok Yadav,Male,18-40,Maithili,Trimbak Road,Trimbakeshwar Kho-Ya-Paya Kendra,+91 6154308262,"Child in red shirt, about 8-10 years, crying",Police assisted,Reunited
missing,2027-08-02 12:39,Kanta Gupta,Female,71-80,Kannada,Kushavart Kund,Police Main Control Room,,"Old man confused, keeps asking for Ramkund",Bharat Bharati volunteer handled,Reunited
missing,2027-07-22 19:25,Parvati Roy,Female,71-80,Bengali,Gauri Patangan,Bharat Bharati Control Room,+91 7544328940,"Child girl, pigtails, pink frock, about 6 years",Cross-center transfer needed,Reunited
missing,2027-07-26 05:38,Usha Singh,Female,41-60,Tamil,Madsangvi Transit,Central Control Room,+91 8697285504,"Young boy in blue uniform, school bag",,Reunited
missing,2027-07-18 11:48,,Male,13-17,Bengali,Nashik Road Station,Bharat Bharati Control Room,+91 9544726404,"Woman in burqa, has small child with her",GGTalk app used,Reunited
missing,2027-07-05 15:36,Ankit Rao,Male,0-12,Bengali,Gauri Patangan,Nashik Road Center,,"Old man, bald, wearing vest and dhoti",,Reunited
missing,2027-08-07 20:29,Ankit Reddy,Male,41-60,Awadhi,Trimbak Road,Nashik Road Center,,"Boy about 12, wearing school dress",Cross-center transfer needed,Reunited
missing,2027-07-10 15:45,Anjali Chaudhary,Female,61-70,Gujarati,Trimbakeshwar Approach,Police Main Control Room,+91 7445236735,,GGTalk app used,Reunited
missing,2027-08-08 07:19,Rekha Gupta,Female,18-40,Telugu,Panchavati Circle,Adgaon Kho-Ya-Paya,+91 9238460786,,Cross-center transfer needed,Reunited
missing,2027-08-14 10:46,Hari Roy,Male,18-40,Telugu,Dasak Ghat,Central Control Room,,"Elderly woman, cannot speak properly, Gujarati",Found near ghat,Reunited
missing,2027-07-29 21:09,Bharat Trivedi,Male,71-80,Kannada,Gauri Patangan,Bharat Bharati Control Room,+91 7392907427,"Man in saffron kurta, has rudraksha mala",Bharat Bharati volunteer handled,Pending
missing,2027-07-25 08:03,Pooja Agarwal,Female,71-80,Awadhi,Dindori Road Crossing,Adgaon Kho-Ya-Paya,+91 7689274064,,Family waiting at center,Reunited
missing,2027-07-02 16:50,,Male,71-80,Marathi,Trimbakeshwar Approach,Panchavati Center,+91 8372354893,"Man in saffron kurta, has rudraksha mala",,Reunited
missing,2027-07-22 13:07,Ankit Trivedi,Male,0-12,Kannada,Laxmi Narayan Ghat,Adgaon Kho-Ya-Paya,+91 6804086195,"Old man, bald, wearing vest and dhoti",,Pending
missing,2027-08-02 10:01,Nisha Yadav,Female,71-80,Kannada,Sadhugram Gate 2,Nashik Road Center,+91 9490102359,Lost near ghats,Police assisted,Reunited
missing,2027-08-01 11:07,,Male,71-80,Gujarati,Sadhugram Gate 2,Bharat Bharati Control Room,+91 8845156039,"Boy about 12, wearing school dress",,Pending
missing,2027-07-20 17:45,Savita Pandey,Female,41-60,Bengali,Bus Stand Nashik,Police Main Control Room,+91 6170596494,"Elderly woman, cannot speak properly, Gujarati",Cross-center transfer needed,Reunited
missing,2027-08-10 14:39,Anjali Roy,Female,0-12,Gujarati,Panchavati Circle,Bharat Bharati Control Room,+91 8234400576,"Man in yellow kurta, has tilak, speaks Bhojpuri",Family waiting at center,Reunited
missing,2027-07-29 18:30,Seema Mehta,Female,71-80,Awadhi,Dasak Ghat,Trimbakeshwar Kho-Ya-Paya Kendra,+91 6269737590,"Child girl, pigtails, pink frock, about 6 years",Police assisted,Reunited
missing,2027-07-02 07:25,Kanta Dubey,Female,18-40,Bhojpuri,Nashik Road Station,Rajur Bahula Center,+91 8634047267,"Man in saffron kurta, has rudraksha mala",Family waiting at center,Reunited
missing,2027-07-11 11:38,Sunil Agarwal,Male,41-60,Hindi,Nashik Road Station,Adgaon Kho-Ya-Paya,+91 7203810954,"Man in yellow kurta, has tilak, speaks Bhojpuri",Announcement made on PA,Reunited
missing,2027-07-04 20:10,Sanjay Singh,Male,61-70,Bengali,Nashik Road Station,Nashik Road Center,+91 7874597473,Man from UP,,Reunited
missing,2027-08-05 14:14,Bharat Rao,Male,71-80,Bhojpuri,Takli Sangam,Sadhugram Lost Found,+91 7399580835,Old woman,GGTalk app used,Reunited
missing,2027-07-10 12:03,Ankit Trivedi,Male,61-70,Kannada,Sadhugram Gate 1,Adgaon Kho-Ya-Paya,,"Child girl, pigtails, pink frock, about 6 years",GGTalk app used,Reunited
missing,2027-07-19 06:00,Ankit Patel,Male,0-12,Marathi,Takli Sangam,Nashik Road Center,,"Girl child about 5 years, red bindi, crying",Announcement made on PA,Pending
missing,2027-07-09 20:20,Parvati Roy,Female,61-70,Bengali,Dindori Road Crossing,Central Control Room,+91 6298407302,"Woman speaking Tamil, wearing silk saree",Found near ghat,Reunited
missing,2027-07-29 21:45,Ravi Trivedi,Male,71-80,Marathi,Laxmi Narayan Ghat,Bharat Bharati Control Room,+91 6664258474,"Old man, hearing aid, wearing full pants shirt",Family waiting at center,Reunited
missing,2027-07-23 07:34,Asha Yadav,Female,71-80,Hindi,Kushavart Kund,Bharat Bharati Control Room,,"Old woman in white saree, widow marks",Cross-center transfer needed,Reunited
missing,2027-07-18 11:59,Priya Rao,Female,61-70,Bengali,Sadhugram Gate 1,Central Control Room,+91 8266560311,Lost near ghats,Brought by volunteer,Reunited
missing,2027-07-18 06:35,Durga Krishnan,Female,41-60,Bengali,Trimbak Road,Ramkund Kho-Ya-Paya Kendra,+91 9422660441,,Cross-center transfer needed,Reunited
missing,2027-07-18 17:43,Mohan Dubey,Male,80+,Marathi,Main Police Chowki,Nashik Road Center,+91 7155337035,"Old man in dhoti kurta, cannot remember name",GGTalk app used,Reunited
missing,2027-07-21 11:23,Seema Yadav,Female,71-80,Awadhi,Nandur Ghat,Adgaon Kho-Ya-Paya,+91 9917792874,"Old man in dhoti kurta, cannot remember name",,Pending
missing,2027-08-04 06:33,Deepak Menon,Male,18-40,Hindi,Kushavart Kund,Bharat Bharati Control Room,,Lost near ghats,Brought by volunteer,Reunited
missing,2027-07-13 21:16,Ankit Patil,Male,71-80,Marathi,Laxmi Narayan Ghat,Sadhugram Lost Found,+91 7358738317,"Old man, bald, wearing vest and dhoti",Brought by volunteer,Reunited
missing,2027-07-18 06:11,Manju Verma,Female,71-80,Awadhi,Nandur Ghat,Central Control Room,+91 6834899763,"Old woman, white clothes, lost memory",,Reunited
missing,2027-08-07 14:51,Asha Pillai,Female,61-70,Tamil,Dindori Road Crossing,Bharat Bharati Control Room,+91 9563693201,"Child in red shirt, about 8-10 years, crying",Bharat Bharati volunteer handled,Reunited
missing,2027-08-03 10:43,Pushpa Dubey,Female,0-12,Tamil,Kapila Sangam,Ramkund Kho-Ya-Paya Kendra,+91 7714137833,"Elderly man with walking stick, hard of hearing",Bharat Bharati volunteer handled,Reunited
missing,2027-07-21 10:25,Vimla Reddy,Female,18-40,Kannada,Nandur Ghat,Sadhugram Lost Found,+91 7614332794,Child missing,Police assisted,Transferred to hospital
missing,2027-07-29 20:37,Geeta Reddy,Female,41-60,Bengali,Kapila Sangam,Police Main Control Room,+91 9179419456,"Man in yellow kurta, has tilak, speaks Bhojpuri",GGTalk app used,Reunited
missing,2027-07-31 08:18,Sangeeta Tiwari,Female,41-60,Gujarati,Gauri Patangan,Bharat Bharati Control Room,+91 8126373949,"Woman in green saree, has tilak on forehead",GGTalk app used,Reunited
missing,2027-08-09 19:37,Ashok Reddy,Male,61-70,Bhojpuri,Gauri Patangan,Adgaon Kho-Ya-Paya,,"Wearing white saree, grey hair, speaks Hindi",,Reunited
missing,2027-07-09 15:07,Kamla Rao,Female,41-60,Gujarati,Dindori Road Crossing,Sadhugram Lost Found,,"Woman in green saree, has tilak on forehead",Family waiting at center,Reunited
missing,2027-07-29 20:10,Ankit Chaudhary,Male,61-70,Bhojpuri,Trimbakeshwar Approach,Nashik Road Center,+91 9862509565,"Wearing white saree, grey hair, speaks Hindi",,Reunited
missing,2027-07-16 11:51,Seema Sinha,Female,61-70,Awadhi,Trimbak Road,Panchavati Center,+91 6932828137,Old woman,Brought by volunteer,Reunited
missing,2027-08-13 17:31,,Unknown,71-80,Tamil,Sadhugram Gate 2,Nashik Road Center,+91 7917626034,,,Reunited
missing,2027-07-07 19:01,Ram Dubey,Male,18-40,Kannada,Sadhugram Gate 1,Ramkund Kho-Ya-Paya Kendra,+91 6149330844,"Boy about 12, wearing school dress",,Reunited
missing,2027-08-14 09:30,Dinesh Nair,Male,61-70,Marathi,Trimbakeshwar Approach,Trimbakeshwar Kho-Ya-Paya Kendra,+91 6553456129,"Old man, bald, wearing vest and dhoti",Found near ghat,Reunited
missing,2027-07-09 12:17,,Female,71-80,Awadhi,Trimbakeshwar Approach,Trimbakeshwar Kho-Ya-Paya Kendra,+91 9437695739,"Woman with three children, lost husband",,Reunited
missing,2027-07-31 07:01,,Female,71-80,Tamil,Trimbak Road,Bharat Bharati Control Room,+91 7918970742,"Wearing white saree, grey hair, speaks Hindi",Bharat Bharati volunteer handled,Reunited
missing,2027-07-30 06:19,Kavita Mishra,Female,71-80,Gujarati,Adgaon Parking,Bharat Bharati Control Room,+91 9224539647,"Wearing white saree, grey hair, speaks Hindi",GGTalk app used,Reunited
missing,2027-08-02 05:02,Rakesh Patel,Male,41-60,Kannada,Ramkund Ghat,Trimbakeshwar Kho-Ya-Paya Kendra,+91 6345247378,"Old man in dhoti kurta, cannot remember name",,Reunited
missing,2027-07-19 14:47,Vimla Mishra,Female,41-60,Telugu,Main Police Chowki,Trimbakeshwar Kho-Ya-Paya Kendra,+91 8315469014,"Boy about 12, wearing school dress",Brought by volunteer,Reunited
missing,2027-07-06 08:32,Geeta Patil,Female,0-12,Awadhi,Sadhugram Gate 2,Adgaon Kho-Ya-Paya,+91 8592265554,"Child in red shirt, about 8-10 years, crying",Brought by volunteer,Reunited
missing,2027-08-13 14:52,Amit Joshi,Male,61-70,Telugu,Main Police Chowki,Central Control Room,,"Old woman, white clothes, lost memory",Bharat Bharati volunteer handled,Reunited
missing,2027-07-29 09:05,,Male,61-70,Kannada,Nandur Ghat,Bharat Bharati Control Room,+91 7793623149,"Old man in dhoti kurta, cannot remember name",Bharat Bharati volunteer handled,Reunited
missing,2027-08-06 21:20,Rohit Trivedi,Male,80+,Hindi,Kapila Sangam,Sadhugram Lost Found,+91 9469403820,"Young boy in blue uniform, school bag",Found near ghat,Reunited
missing,2027-08-06 09:36,Rakesh Dubey,Male,71-80,Tamil,Rajur Bahula,Rajur Bahula Center,+91 8709511014,"Woman with three children, lost husband",Family waiting at center,Reunited
missing,2027-08-10 20:41,Sanjay Chaudhary,Male,41-60,Maithili,Nandur Ghat,Ramkund Kho-Ya-Paya Kendra,+91 9950234433,Old woman,Brought by volunteer,Reunited
missing,2027-07-06 15:28,,Female,71-80,Bhojpuri,Ramkund Ghat,Sadhugram Lost Found,+91 7783100341,"Old woman, white clothes, lost memory",,Reunited
missing,2027-07-02 18:41,Ashok Patel,Male,61-70,Gujarati,Adgaon Parking,Nashik Road Center,+91 9856456108,"Elderly woman, cannot speak properly, Gujarati",Bharat Bharati volunteer handled,Reunited
missing,2027-08-07 17:11,Ramesh Joshi,Male,41-60,Gujarati,Laxmi Narayan Ghat,Adgaon Kho-Ya-Paya,+91 8942754807,"Woman in burqa, has small child with her",Brought by volunteer,Reunited
missing,2027-07-13 09:02,Pushpa Nair,Female,61-70,Bengali,Gauri Patangan,Bharat Bharati Control Room,+91 7327515325,Lost near ghats,Family waiting at center,Reunited
missing,2027-07-17 17:41,Shanti Singh,Female,61-70,Kannada,Bus Stand Nashik,Nashik Road Center,+91 8541189818,"Girl child about 5 years, red bindi, crying",Family waiting at center,Reunited
missing,2027-07-14 18:47,Deepak Agarwal,Male,41-60,Hindi,Bus Stand Nashik,Police Main Control Room,+91 7574289591,"Woman in burqa, has small child with her",GGTalk app used,Reunited
missing,2027-08-05 16:22,Durga Sharma,Female,61-70,Marathi,Adgaon Parking,Sadhugram Lost Found,+91 9730157871,Child missing,Family waiting at center,Reunited
missing,2027-07-07 05:32,Rahul Chaudhary,Male,61-70,Awadhi,Laxmi Narayan Ghat,Police Main Control Room,+91 9727588309,,,Reunited
missing,2027-08-04 20:58,Vinod Chaudhary,Male,0-12,Gujarati,Laxmi Narayan Ghat,Police Main Control Room,+91 7836928463,"Old man confused, keeps asking for Ramkund",,Reunited
missing,2027-07-20 18:03,Ajay Nair,Male,61-70,Telugu,Sadhugram Gate 2,Ramkund Kho-Ya-Paya Kendra,+91 9668909764,"Old woman, white clothes, lost memory",Announcement made on PA,Reunited
missing,2027-08-04 11:46,Vinod Reddy,Male,61-70,Maithili,Laxmi Narayan Ghat,Central Control Room,,"Child girl, pigtails, pink frock, about 6 years",Brought by volunteer,Reunited
missing,2027-07-02 21:10,Sunita Pandey,Unknown,18-40,Hindi,Sadhugram Gate 1,Panchavati Center,+91 7326763783,Old woman,Family waiting at center,Reunited
missing,2027-07-10 11:49,Durga Shah,Female,61-70,Telugu,Madsangvi Transit,Police Main Control Room,+91 6649309976,"Old woman, white clothes, lost memory",Announcement made on PA,Reunited
missing,2027-07-19 16:51,Seema Yadav,Female,13-17,Marathi,Nandur Ghat,Adgaon Kho-Ya-Paya,,Child missing,,Reunited
missing,2027-07-27 20:51,,Female,71-80,Awadhi,Trimbak Road,Rajur Bahula Center,,"Young boy in blue uniform, school bag",Cross-center transfer needed,Reunited
missing,2027-08-05 06:00,,Female,61-70,Kannada,Adgaon Parking,Police Main Control Room,+91 9259616499,"Old woman in white saree, widow marks",Announcement made on PA,Pending
missing,2027-08-05 11:41,Vinod Verma,Male,0-12,Hindi,Dasak Ghat,Panchavati Center,+91 8645823493,"Woman in burqa, has small child with her",Family waiting at center,Reunited
missing,2027-07-22 08:48,Vijay Joshi,Male,80+,Awadhi,Gauri Patangan,Central Control Room,+91 7869645166,,Family waiting at center,Reunited
missing,2027-08-08 21:19,Shanti Tiwari,Female,80+,Maithili,Panchavati Circle,Panchavati Center,+91 7543182078,Old woman,Found near ghat,Reunited
missing,2027-08-13 13:09,,Female,18-40,Maithili,Kushavart Kund,Sadhugram Lost Found,+91 7407751103,"Old woman, white clothes, lost memory",Cross-center transfer needed,Reunited
missing,2027-07-12 14:28,Gaurav Pillai,Male,61-70,Gujarati,Adgaon Parking,Bharat Bharati Control Room,+91 8910790724,"Young boy in blue uniform, school bag",Found near ghat,Reunited
missing,2027-07-15 11:42,,Male,61-70,Tamil,Nandur Ghat,Panchavati Center,+91 6475168561,"Woman in burqa, has small child with her",GGTalk app used,Reunited
missing,2027-08-04 05:40,Sunil Agarwal,Male,41-60,Bhojpuri,Trimbakeshwar Approach,Trimbakeshwar Kho-Ya-Paya Kendra,+91 6279738803,Lost near ghats,,Pending
missing,2027-07-08 05:41,Meena Das,Female,41-60,Awadhi,Main Police Chowki,Bharat Bharati Control Room,+91 9822949013,Man from UP,GGTalk app used,Reunited
missing,2027-07-27 21:09,Suresh Sharma,Male,41-60,Awadhi,Adgaon Parking,Ramkund Kho-Ya-Paya Kendra,+91 8327350811,"Man in saffron kurta, has rudraksha mala",Family waiting at center,Reunited
missing,2027-08-06 16:51,Saroj Joshi,Female,61-70,Hindi,Nandur Ghat,Adgaon Kho-Ya-Paya,+91 7707256840,"Young boy in blue uniform, school bag",Cross-center transfer needed,Reunited
missing,2027-08-08 20:41,,Male,61-70,Bhojpuri,Sadhugram Gate 2,Panchavati Center,+91 9925922483,"Old man, bald, wearing vest and dhoti",Found near ghat,Pending
missing,2027-08-07 15:06,Sunita Tiwari,Female,41-60,Tamil,Nashik Road Station,Sadhugram Lost Found,+91 7656075031,Child missing,Bharat Bharati volunteer handled,Reunited
missing,2027-07-15 18:51,Ajay Yadav,Male,18-40,Kannada,Nandur Ghat,Bharat Bharati Control Room,+91 6809861078,"Old woman in white saree, widow marks",Bharat Bharati volunteer handled,Reunited
missing,2027-08-13 15:59,Laxmi Kumar,Female,71-80,Marathi,Dasak Ghat,Nashik Road Center,+91 8280089806,"Old man, hearing aid, wearing full pants shirt",Brought by volunteer,Reunited
missing,2027-07-12 18:08,Vinod Pandey,Male,71-80,Bhojpuri,Madsangvi Transit,Rajur Bahula Center,+91 9947778851,Man from UP,Family waiting at center,Pending
missing,2027-08-08 16:49,Bharat Iyer,Male,61-70,Marathi,Kapila Sangam,Ramkund Kho-Ya-Paya Kendra,+91 9291898710,Lost near ghats,,Reunited
missing,2027-08-07 21:18,Kanta Chaudhary,Female,41-60,Maithili,Rajur Bahula,Central Control Room,+91 6930655747,"Girl child about 5 years, red bindi, crying",,Reunited
missing,2027-07-08 21:16,,Male,18-40,Kannada,Panchavati Circle,Nashik Road Center,+91 8465035599,"Woman speaking Tamil, wearing silk saree",Brought by volunteer,Transferred to hospital
missing,2027-07-21 16:13,Reena Tiwari,Female,41-60,Bhojpuri,Trimbak Road,Sadhugram Lost Found,+91 7611697526,"Young boy in blue uniform, school bag",Found near ghat,Reunited
missing,2027-08-03 18:30,Pooja Patel,Female,80+,Telugu,Panchavati Circle,Central Control Room,+91 7158141154,"Man in yellow kurta, has tilak, speaks Bhojpuri",,Reunited
missing,2027-08-13 12:52,Mohan Shukla,Male,41-60,Maithili,Sadhugram Gate 1,Sadhugram Lost Found,+91 7718360105,"Man in saffron kurta, has rudraksha mala",,Reunited
missing,2027-07-08 16:55,Reena Pandey,Female,61-70,Awadhi,Main Police Chowki,Trimbakeshwar Kho-Ya-Paya Kendra,,"Old man, hearing aid, wearing full pants shirt",Found near ghat,Reunited
missing,2027-07-10 13:47,Shyam Iyer,Male,41-60,Bengali,Trimbakeshwar Approach,Trimbakeshwar Kho-Ya-Paya Kendra,+91 9544517369,"Young boy in blue uniform, school bag",GGTalk app used,Reunited
missing,2027-08-10 18:33,Gaurav Trivedi,Male,61-70,Kannada,Panchavati Circle,Sadhugram Lost Found,+91 9777582116,"Woman in burqa, has small child with her",Police assisted,Reunited
missing,2027-08-10 12:33,Nisha Chaudhary,Female,71-80,Maithili,Main Police Chowki,Sadhugram Lost Found,+91 6553376084,"Old man confused, keeps asking for Ramkund",,Reunited
missing,2027-08-14 06:21,Dinesh Sharma,Male,41-60,Tamil,Trimbakeshwar Approach,Ramkund Kho-Ya-Paya Kendra,+91 8597877404,"Old man in dhoti kurta, cannot remember name",Brought by volunteer,Reunited
missing,2027-07-24 11:07,Deepak Verma,Male,61-70,Hindi,Dindori Road Crossing,Adgaon Kho-Ya-Paya,+91 8313377873,"Child girl, pigtails, pink frock, about 6 years",Brought by volunteer,Reunited
missing,2027-07-09 13:57,Shanti Pandey,Female,61-70,Kannada,Kushavart Kund,Rajur Bahula Center,+91 8877817678,Old woman,Family waiting at center,Reunited
missing,2027-08-04 17:12,Laxmi Sinha,Female,61-70,Maithili,Nashik Road Station,Rajur Bahula Center,,Man from UP,Police assisted,Reunited
missing,2027-08-10 06:23,Sohan Iyer,Male,0-12,Hindi,Panchavati Circle,Adgaon Kho-Ya-Paya,+91 6602574675,"Woman in burqa, has small child with her",,Reunited
missing,2027-07-25 15:54,Saraswati Rao,Female,13-17,Bengali,Laxmi Narayan Ghat,Adgaon Kho-Ya-Paya,+91 8806019487,Man from UP,GGTalk app used,Reunited
missing,2027-07-03 19:22,Ankit Patil,Male,80+,Telugu,Sadhugram Gate 2,Ramkund Kho-Ya-Paya Kendra,+91 7201240032,"Woman speaking Tamil, wearing silk saree",Found near ghat,Pending
missing,2027-08-10 17:03,Ankit Shukla,Male,71-80,Telugu,Takli Sangam,Police Main Control Room,+91 6780631093,"Old man in dhoti kurta, cannot remember name",Brought by volunteer,Reunited
missing,2027-08-09 21:15,Vinod Pillai,Male,71-80,Bengali,Dindori Road Crossing,Bharat Bharati Control Room,,"Woman speaking Tamil, wearing silk saree",Cross-center transfer needed,Reunited
missing,2027-07-29 20:01,,Male,71-80,Maithili,Nandur Ghat,Trimbakeshwar Kho-Ya-Paya Kendra,+91 6427618008,Child missing,GGTalk app used,Reunited
missing,2027-08-01 07:11,Gaurav Roy,Male,41-60,Maithili,Rajur Bahula,Police Main Control Room,+91 6438718269,"Boy about 12, wearing school dress",Brought by volunteer,Pending
missing,2027-07-16 09:27,Reena Tiwari,Female,71-80,Kannada,Takli Sangam,Nashik Road Center,+91 7548108259,"Child girl, pigtails, pink frock, about 6 years",GGTalk app used,Reunited
missing,2027-08-08 12:38,Saroj Shukla,Female,41-60,Hindi,Dindori Road Crossing,Trimbakeshwar Kho-Ya-Paya Kendra,+91 6241246317,Lost near ghats,GGTalk app used,Reunited
missing,2027-07-25 17:39,Prakash Sinha,Male,61-70,Maithili,Trimbak Road,Nashik Road Center,+91 6752759821,"Woman with three children, lost husband",,Reunited
missing,2027-08-07 09:25,Priya Krishnan,Female,13-17,Hindi,Gauri Patangan,Panchavati Center,,"Boy about 12, wearing school dress",Brought by volunteer,Reunited
missing,2027-07-04 18:19,Manju Dubey,Female,61-70,Gujarati,Takli Sangam,Rajur Bahula Center,+91 7925875822,"Old man confused, keeps asking for Ramkund",Family waiting at center,Reunited
missing,2027-07-07 18:11,Sunita Kumar,Female,61-70,Awadhi,Adgaon Parking,Sadhugram Lost Found,+91 6152647028,"Girl child about 5 years, red bindi, crying",Family waiting at center,Reunited
missing,2027-08-03 16:59,Parvati Shah,Female,61-70,Kannada,Sadhugram Gate 2,Nashik Road Center,+91 8378807844,"Old man, hearing aid, wearing full pants shirt",,Reunited
missing,2027-08-06 05:53,Mahesh Mishra,Male,61-70,Telugu,Adgaon Parking,Trimbakeshwar Kho-Ya-Paya Kendra,+91 8525254727,"Child girl, pigtails, pink frock, about 6 years",Announcement made on PA,Pending
missing,2027-08-08 15:45,Dinesh Yadav,Male,41-60,Marathi,Kushavart Kund,Sadhugram Lost Found,+91 7713086866,"Elderly woman, cannot speak properly, Gujarati",Found near ghat,Reunited
missing,2027-07-20 06:43,Anjali Rao,Female,18-40,Kannada,Main Police Chowki,Bharat Bharati Control Room,+91 6104412943,"Child girl, pigtails, pink frock, about 6 years",Cross-center transfer needed,Pending
missing,2027-07-05 14:39,Mohan Trivedi,Male,41-60,Hindi,Nandur Ghat,Police Main Control Room,+91 7283905107,"Boy about 12, wearing school dress",,Reunited
